gene_id	median_abs_deviation
GSM2674240	91.0
GSM2674241	27.89745
GSM2674242	26.074550000000002
GSM2674243	23.07385
GSM2674244	32.49255
GSM2674245	26.856
GSM2674246	35.91865
GSM2674606	5.0121
GSM2674607	4.9887
GSM2674608	5.89075
GSM2674609	1.0252
GSM2674610	6.015750000000001
GSM2674611	10.1482
GSM2674612	12.90325
GSM2674613	20.2132
GSM2674614	9.149149999999999
GSM2674615	9.9667
GSM2674616	7.00455
GSM2674617	5.9582999999999995
GSM2674618	9.89915
GSM2674619	13.87115
GSM2674620	5.00855
GSM2674621	11.0018
GSM2674622	14.78285
GSM2674623	13.169
GSM2674624	9.0754
GSM2674625	6.305300000000001
GSM2674626	9.08515
GSM2674627	15.147549999999999
GSM2674628	13.0196
GSM2674629	11.04075
GSM2674630	3.99345
GSM2674631	6.633850000000001
GSM2674632	14.046199999999999
GSM2674633	11.242799999999999
GSM2674634	9.0364
GSM2674635	7.10805
GSM2674636	4.97495
GSM2674637	8.4437
GSM2676359	37.0
GSM2676360	27.0
GSM2674863	5.06515
GSM2674864	8.5823
GSM2674865	17.93715
GSM2674866	46.78795
GSM2674867	209.4838
GSM2674868	178.01945
GSM2674869	249.89095
GSM2674870	17.0756
GSM2674871	273.43865
GSM2674872	76.0176
GSM2674873	20.30205
GSM2674874	42.132149999999996
GSM2674875	23.553150000000002
GSM2674876	60.9199
GSM2674877	141.85014999999999
GSM2674878	38.75855
GSM2674879	179.19585
GSM2674880	69.25665000000001
GSM2674881	8.9458
GSM2674882	162.25645
GSM2674883	68.58105
GSM2674884	43.5047
GSM2674885	34.06125
GSM2674886	50.368300000000005
GSM2674887	103.1576
GSM2674888	2.01555
GSM2674889	123.05330000000001
GSM2674890	21.990099999999998
GSM2674891	3.0111499999999998
GSM2674892	176.93505
GSM2674893	98.33785
GSM2674894	102.961
GSM2674895	163.5451
GSM2674896	177.64835
GSM2674897	116.08455000000001
GSM2674898	170.78244999999998
GSM2674899	119.79005000000001
GSM2676335	63.02250000000001
GSM2676336	52.0
GSM2676337	59.22925
GSM2676338	62.1118
GSM2676339	39.9312
GSM2676340	49.5492
GSM2676341	26.588250000000002
GSM2676342	48.1377
GSM2676343	27.34025
GSM2676344	45.07979999999999
GSM2676823	23.56495
GSM2676824	22.7472
GSM2676825	28.9991
GSM2676826	20.48515
GSM2676827	28.208350000000003
GSM2676828	24.597949999999997
GSM2676829	24.43935
GSM2676830	26.23915
GSM2676835	34.1814
GSM2676836	28.77065
GSM2677357_x	49.611999999999995
GSM2677358_x	39.022800000000004
GSM2677359_x	51.73185
GSM2677360_x	37.0978
GSM2677361_x	51.24185
GSM2677362_x	50.9735
GSM2677363_x	52.966449999999995
