gene_id	median_abs_deviation
GSM2671259	6.0
GSM2671260	6.0
GSM2671261	4.36795
GSM2671262	6.0
GSM2671263	7.0
GSM2671264	7.0
GSM2671265	7.037
GSM2671266	10.094750000000001
GSM2671267	8.140550000000001
GSM2671268	9.0
GSM2671269	7.5105
GSM2671270	5.0
GSM2671271	3.0
GSM2671272	2.0
GSM2671273	4.02925
GSM2671274	6.0
GSM2671275	3.1390000000000002
GSM2671276	6.0
GSM2671277	3.0
GSM2671278	2.0
GSM2671279	3.0
GSM2671280	2.0
GSM2671281	5.0
GSM2671282	5.198
GSM2671283	7.4209499999999995
GSM2671284	5.0
GSM2671285	5.0
GSM2671286	5.6181
GSM2671287	6.0
GSM2671288	6.0
GSM2671289	9.0
GSM2672034	0.0
GSM2672035	0.0
GSM2672036	0.0
GSM2672037	0.0
GSM2672038	0.0
GSM2672039	1.0003
GSM2672040	0.0
GSM2672041	0.0
GSM2672042	0.0
GSM2672043	0.0
GSM2672044	0.0
GSM2672045	0.0
GSM2672046	0.0
GSM2672047	0.0
GSM2672048	0.0
GSM2672049	0.0
GSM2672050	0.0
GSM2672051	0.0
GSM2672052	0.99985
GSM2672053	0.0
GSM2672054	0.0
GSM2672055	0.0
GSM2672056	4.00095
GSM2672057	0.0
GSM2672058	0.0
GSM2672059	6.0413
GSM2672060	0.0
GSM2672061	1.0025
GSM2672062	0.0
GSM2672063	0.0
GSM2672064	0.0
GSM2672065	0.0
GSM2672066	5.65325
GSM2672067	0.597
GSM2672068	13.467099999999999
GSM2672069	1.9903499999999998
GSM2672070	0.0
GSM2672071	0.0
GSM2672072	0.0
GSM2672073	0.0
GSM2672074	0.0
GSM2672075	1.0026
GSM2672076	0.0
GSM2672077	0.99955
GSM2672078	0.0
GSM2672079	0.0
GSM2672080	0.0
GSM2672081	0.0
GSM2672082	0.0
GSM2672083	0.0
GSM2672084	0.0
GSM2672085	0.0
GSM2672086	3.1704
GSM2672087	0.0
GSM2672088	0.0
GSM2672089	0.0
GSM2672090	0.0
GSM2672091	0.0
GSM2672092	0.0
GSM2672093	0.0
GSM2672094	0.0
GSM2672095	0.0
GSM2672096	0.0
GSM2672097	17.005650000000003
GSM2672098	5.01125
GSM2672099	0.0
GSM2672100	0.0
GSM2672101	0.0
GSM2672102	0.0
GSM2672103	0.0
GSM2672104	0.0
GSM2672105	0.0
GSM2672106	0.0
GSM2672107	0.0
GSM2672108	0.0
GSM2672109	0.0
GSM2672110	0.0
GSM2672111	0.0
GSM2672112	0.0
GSM2672113	0.0
GSM2672114	0.0
GSM2672115	0.0
GSM2672116	0.0
GSM2672117	0.0
GSM2672118	4.709250000000001
GSM2672119	0.0
GSM2672120	0.0
GSM2672121	0.0
GSM2672122	0.0
GSM2672123	0.0
GSM2672124	0.0
GSM2672125	0.0
GSM2674232	43.73075
GSM2674233	39.979299999999995
GSM2674234	45.8233
GSM2674235	73.4482
GSM2674236	70.97534999999999
GSM2674237	81.10235
GSM2674238	74.0001
GSM2674239	83.62594999999999
GSM2674240	91.0
GSM2674241	27.89745
GSM2674242	26.074550000000002
GSM2674243	23.07385
GSM2674244	32.49255
GSM2674245	26.856
GSM2674246	35.91865
GSM2674606	5.0121
GSM2674607	4.9887
GSM2674608	5.89075
GSM2674609	1.0252
GSM2674610	6.015750000000001
GSM2674611	10.1482
GSM2674612	12.90325
GSM2674613	20.2132
GSM2674614	9.149149999999999
GSM2674615	9.9667
GSM2674616	7.00455
GSM2674617	5.9582999999999995
GSM2674618	9.89915
GSM2674619	13.87115
GSM2674620	5.00855
GSM2674621	11.0018
GSM2674622	14.78285
GSM2674623	13.169
GSM2674624	9.0754
GSM2674625	6.305300000000001
GSM2674626	9.08515
GSM2674627	15.147549999999999
GSM2674628	13.0196
GSM2674629	11.04075
GSM2674630	3.99345
GSM2674631	6.633850000000001
GSM2674632	14.046199999999999
GSM2674633	11.242799999999999
GSM2674634	9.0364
GSM2674635	7.10805
GSM2674636	4.97495
GSM2674637	8.4437
GSM2676359	37.0
GSM2676360	27.0
GSM2674863	5.06515
GSM2674864	8.5823
GSM2674865	17.93715
GSM2674866	46.78795
GSM2674867	209.4838
GSM2674868	178.01945
GSM2674869	249.89095
GSM2674870	17.0756
GSM2674871	273.43865
GSM2674872	76.0176
GSM2674873	20.30205
GSM2674874	42.132149999999996
GSM2674875	23.553150000000002
GSM2674876	60.9199
GSM2674877	141.85014999999999
GSM2674878	38.75855
GSM2674879	179.19585
GSM2674880	69.25665000000001
GSM2674881	8.9458
GSM2674882	162.25645
GSM2674883	68.58105
GSM2674884	43.5047
GSM2674885	34.06125
GSM2674886	50.368300000000005
GSM2674887	103.1576
GSM2674888	2.01555
GSM2674889	123.05330000000001
GSM2674890	21.990099999999998
GSM2674891	3.0111499999999998
GSM2674892	176.93505
GSM2674893	98.33785
GSM2674894	102.961
GSM2674895	163.5451
GSM2674896	177.64835
GSM2674897	116.08455000000001
GSM2674898	170.78244999999998
GSM2674899	119.79005000000001
GSM2676335	63.02250000000001
GSM2676336	52.0
GSM2676337	59.22925
GSM2676338	62.1118
GSM2676339	39.9312
GSM2676340	49.5492
GSM2676341	26.588250000000002
GSM2676342	48.1377
GSM2676343	27.34025
GSM2676344	45.07979999999999
GSM2676823	23.56495
GSM2676824	22.7472
GSM2676825	28.9991
GSM2676826	20.48515
GSM2676827	28.208350000000003
GSM2676828	24.597949999999997
GSM2676829	24.43935
GSM2676830	26.23915
GSM2676835	34.1814
GSM2676836	28.77065
GSM2677357	49.611999999999995
GSM2677358	39.022800000000004
GSM2677359	51.73185
GSM2677360	37.0978
GSM2677361	51.24185
GSM2677362	50.9735
GSM2677363	52.966449999999995
GSM2677364	59.3322
GSM2677365	50.0428
GSM2677366	45.9897
GSM2677508	343.0
GSM2677509	229.0
GSM2677510	365.0
GSM2677511	399.0
GSM2677512	401.0
GSM2677513	197.0
GSM2677514	420.0
GSM2677515	304.0
GSM2677516	325.0
GSM2677517	333.0
GSM2677861	29.1402
GSM2677862	36.298
GSM2677863	34.450599999999994
GSM2677864	44.87125
GSM2677865	53.97595
GSM2677866	41.91885
GSM2677867	35.70815
GSM2677868	38.06255
GSM2677869	31.1774
GSM2677870	40.3039
GSM2677871	38.177049999999994
GSM2677872	37.71955
GSM2677873	36.13535
GSM2677874	39.6319
GSM2677875	38.8835
GSM2677876	56.0311
GSM2677877	49.3656
GSM2677878	58.39235
GSM2677879	42.564049999999995
GSM2677880	47.8539
GSM2677881	21.035400000000003
GSM2677882	30.03465
GSM2677883	20.9743
GSM2677884	35.5982
GSM2677885	40.54215
GSM2677886	52.1104
GSM2677887	34.0867
GSM2677888	75.12905
GSM2677889	65.08405
GSM2677890	60.15305
GSM2678105	79.27375
GSM2678106	78.3676
GSM2678107	67.69489999999999
GSM2678108	75.00039999999998
GSM2678109	85.9292
GSM2678110	85.86805
GSM2679452	22.5694
GSM2679453	63.10355
GSM2679454	43.5876
GSM2679455	33.396550000000005
GSM2679456	27.05035
GSM2679457	33.4678
GSM2679458	45.1704
GSM2679459	36.51365
GSM2679460	29.5767
GSM2679461	33.7222
GSM2679462	30.2697
GSM2679463	36.359899999999996
GSM2679464	7.9802
GSM2679465	28.174799999999998
GSM2679466	8.99465
GSM2679467	26.721
GSM2679468	11.9312
GSM2679469	11.21125
GSM2679470	30.3468
GSM2679471	10.0153
GSM2679472	12.039100000000001
GSM2679473	27.7758
GSM2679474	7.0005
GSM2679475	29.30765
GSM2679476	28.00425
GSM2679477	14.617249999999999
GSM2679478	12.00235
GSM2679479	12.55275
GSM2679480	12.16
GSM2679481	15.0902
GSM2679482	16.4997
GSM2679483	16.84395
GSM2679484	26.62205
GSM2679485	29.5601
GSM2679486	5.03085
GSM2679487	29.8479
GSM2679488	15.811150000000001
GSM2679489	32.3835
GSM2679490	11.6174
GSM2679491	31.2853
GSM2679492	21.78835
GSM2679493	41.86835
GSM2679494	26.962600000000002
GSM2679495	62.082350000000005
GSM2679496	7.9539
GSM2679497	6.741199999999999
GSM2679498	10.5131
GSM2679499	31.3602
GSM2679500	41.638999999999996
GSM2679501	55.141400000000004
GSM2679502	46.8185
GSM2679503	52.328649999999996
GSM2679504	47.7502
GSM2679505	52.64135
GSM2679506	46.19715
GSM2679507	47.495850000000004
GSM2679508	49.195
GSM2679509	50.04975
GSM2679510	56.09665
GSM2679511	50.78775
GSM2679941	31.03575
GSM2679942	27.9176
GSM2679943	30.04535
GSM2679944	22.17125
GSM2679945	25.0
GSM2679946	21.8497
GSM2679947	40.1257
GSM2679948	31.332349999999998
GSM2679949	35.694599999999994
GSM2679950	36.0894
GSM2679951	24.4004
GSM2679952	30.52975
GSM2679953	36.06435
GSM2679954	29.000149999999998
GSM2679955	28.0
GSM2679956	29.6981
GSM2679957	27.0
GSM2679958	32.05675
GSM2679959	37.975
GSM2679960	31.68355
GSM2679961	35.5178
GSM2679962	42.59685
GSM2679963	28.46605
GSM2679964	31.24875
GSM2680226	18.80265
GSM2680227	23.83155
GSM2680228	26.0
GSM2680229	22.0
GSM2680444	51.00395
GSM2680445	52.0201
GSM2680446	46.4562
GSM2680447	51.7812
GSM2680448	42.3063
GSM2680449	40.782399999999996
GSM2680450	39.45735
GSM2680451	32.8538
GSM2680452	31.994300000000003
GSM2680453	31.831899999999997
GSM2680454	32.6554
GSM2680455	27.00225
GSM2680456	37.031549999999996
GSM2680457	39.965050000000005
GSM2680458	36.41585
GSM2680459	40.9785
GSM2680460	34.897949999999994
GSM2680461	34.92915
GSM2680462	68.8917
GSM2680463	60.26105
GSM2680464	57.79645
GSM2680465	48.915949999999995
GSM2680466	59.6546
GSM2680467	66.6585
GSM2680468	57.260549999999995
GSM2680469	56.982299999999995
GSM2680470	39.58985
GSM2680471	41.80775
GSM2680472	38.5227
GSM2680473	50.98795
GSM2680565	79.91855000000001
GSM2680566	115.51165
GSM2680567	86.11225
GSM2680568	121.23405
GSM2680569	88.98315
GSM2680570	97.81354999999999
GSM2682871	130.25529999999998
GSM2682872	18.9244
GSM2682873	66.54075
GSM2682874	216.96295
GSM2682875	127.6519
GSM2682876	150.22225
GSM2682877	83.4394
GSM2682878	206.45024999999998
GSM2682879	117.21005
GSM2682880	116.0192
GSM2685237	37.56155
GSM2685238	55.99995
GSM2685239	70.4487
GSM2685240	49.4839
GSM2685241	43.12755
GSM2685242	32.0001
GSM2685248	45.0
GSM2685249	31.4052
GSM2685250	52.7042
GSM2685251	39.0
GSM2685252	52.0001
GSM2685253	49.754599999999996
GSM2685254	40.337450000000004
GSM2685255	32.01925
GSM2685256	52.3771
GSM2685257	52.0002
GSM2685865	7.0
GSM2685866	9.0
GSM2686058	78.5155
GSM2686059	63.8334
GSM2686060	68.99075
GSM2686061	83.0034
GSM2686062	74.3558
GSM2686063	64.01965
GSM2686835	13.02995
GSM2686836	11.1369
GSM2686837	13.9087
GSM2686838	15.83215
GSM2686839	12.249
GSM2686840	12.10435
GSM2686841	13.918800000000001
GSM2686842	20.26575
GSM2686843	26.3313
GSM2686844	21.51895
GSM2686845	25.02365
GSM2686846	22.42895
GSM2686847	22.28555
GSM2686848	21.867
GSM2686849	20.4877
GSM2686850	10.49105
GSM2686851	15.4452
GSM2686852	11.0607
GSM2686853	15.818000000000001
GSM2686854	12.94975
GSM2686855	12.0765
GSM2686856	12.94915
GSM2686857	10.140699999999999
GSM2686858	13.18985
GSM2686859	21.4727
GSM2686860	26.75115
GSM2686861	36.183
GSM2686862	24.39525
GSM2686863	22.15175
GSM2686864	27.962449999999997
GSM2686865	20.052750000000003
GSM2686866	39.061049999999994
GSM2687180	50.136449999999996
GSM2687181	33.3448
GSM2687182	25.0751
GSM2687183	22.0
GSM2687184	36.070750000000004
GSM2687185	25.139049999999997
GSM2687186	21.261049999999997
GSM2687187	25.825249999999997
GSM2687188	34.1667
GSM2687189	32.61215
GSM2687190	33.37365
GSM2687191	30.82085
GSM2687192	35.5159
GSM2687193	37.7592
GSM2687194	58.39834999999999
GSM2687195	30.40895
GSM2687196	29.6958
GSM2687197	22.011850000000003
GSM2687198	22.5125
GSM2687199	27.35035
GSM2687200	25.520699999999998
GSM2687201	24.996299999999998
GSM2687202	18.4863
GSM2687203	20.9632
GSM2687204	11.392600000000002
GSM2687205	12.41935
GSM2687206	15.1294
GSM2687207	11.3113
GSM2687208	18.54
GSM2687209	29.219
GSM2687210	16.0
GSM2687211	43.569900000000004
GSM2687212	36.90219999999999
GSM2687213	47.586200000000005
GSM2687214	50.039699999999996
GSM2687215	53.463899999999995
GSM2687216	34.838
GSM2687217	36.259150000000005
GSM2687218	35.3179
GSM2687219	33.63485
GSM2687220	40.44745
GSM2687221	40.7545
GSM2687222	35.2627
GSM2687223	28.4343
GSM2687224	36.694050000000004
GSM2687225	53.8758
GSM2687226	48.33355
GSM2687227	44.68755
GSM2687228	47.266149999999996
GSM2687229	42.828649999999996
GSM2687230	38.37235
GSM2687231	16.567300000000003
GSM2687232	16.0
GSM2687233	20.18025
GSM2687234	9.7494
GSM2687235	14.210049999999999
GSM2687236	17.5946
GSM2687237	19.4056
GSM2687238	14.988900000000001
GSM2687239	17.4048
GSM2687240	23.0588
GSM2687241	20.5416
GSM2687242	22.04885
GSM2687243	23.0584
GSM2687244	15.3302
GSM2687245	8.6785
GSM2687246	13.75235
GSM2687247	10.237549999999999
GSM2687335	7.0
GSM2687336	6.0
GSM2687337	5.0
GSM2687338	6.0
GSM2687339	6.0
GSM2687340	6.0
GSM2687341	5.0
GSM2687342	7.0
GSM2687343	6.0
GSM2687344	4.0
GSM2687345	6.0
GSM2687346	5.0
GSM2687347	6.0
GSM2687348	5.0
GSM2687349	7.0
GSM2687350	7.0
GSM2687351	8.0
GSM2687352	7.0
GSM2687353	41.02815
GSM2687354	46.98535
GSM2687355	47.99535
GSM2687356	57.92725
GSM2687357	44.9898
GSM2687358	38.18155
GSM2687359	46.03415
GSM2687360	60.9944
GSM2687361	38.024100000000004
GSM2687362	36.263999999999996
GSM2687363	54.569500000000005
GSM2687364	56.177
GSM2687365	47.075199999999995
GSM2687366	53.832049999999995
GSM2687367	55.291399999999996
GSM2687368	44.052099999999996
GSM2687369	44.01985
GSM2688979	0.0
GSM2688980	0.0
GSM2688981	0.0
GSM2688982	0.0
GSM2688983	0.0
GSM2688984	0.0
GSM2688985	0.0
GSM2688986	0.0
GSM2688987	0.0
GSM2688988	0.0
GSM2688989	0.0
GSM2688990	0.0
GSM2688991	0.0
GSM2688992	0.0
GSM2688993	0.0
GSM2688994	0.0
GSM2688995	0.0
GSM2688996	0.0
GSM2688997	0.0
GSM2688998	0.0
GSM2688999	0.0
GSM2689000	0.0
GSM2689001	0.0
GSM2689002	0.0
GSM2689003	0.0
GSM2689004	0.0
GSM2689005	0.0
GSM2689006	0.0
GSM2689007	0.0
GSM2689008	0.0
GSM2689009	0.0
GSM2689010	0.0
GSM2689011	0.0
GSM2689012	0.0
GSM2689013	0.0
GSM2689014	0.0
GSM2689015	0.0
GSM2689016	0.0
GSM2689017	0.0
GSM2689018	0.0
GSM2689019	0.0
GSM2689020	0.0
GSM2689021	0.0
GSM2689022	0.0
GSM2689023	0.0
GSM2689024	0.0
GSM2689025	0.0
GSM2689026	0.0
GSM2689027	0.0
GSM2689028	0.0
GSM2689029	0.0
GSM2689030	0.0
GSM2689031	0.0
GSM2689032	0.0
GSM2689033	0.0
GSM2689034	0.0
GSM2689035	0.0
GSM2689036	0.0
GSM2689037	0.0
GSM2689038	0.0
GSM2689039	0.0
GSM2689040	0.0
GSM2689041	0.0
