entrez_gene_id	symbol	description	chromosome	gene_type	synonyms	aliases
1	A1BG	alpha-1-B glycoprotein	19	protein-coding	A1B|ABG|GAB|HYST2477	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA
2	A2M	alpha-2-macroglobulin	12	protein-coding	A2MD|CPAMD5|FWP007|S863-7	alpha-2-macroglobulin|C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5|alpha-2-M
3	A2MP1	alpha-2-macroglobulin pseudogene 1	12	pseudo	A2MP	pregnancy-zone protein pseudogene
9	NAT1	N-acetyltransferase 1	8	protein-coding	AAC1|MNAT|NAT-1|NATI	arylamine N-acetyltransferase 1|N-acetyltransferase 1 (arylamine N-acetyltransferase)|N-acetyltransferase type 1|arylamide acetylase 1|monomorphic arylamine N-acetyltransferase
10	NAT2	N-acetyltransferase 2	8	protein-coding	AAC2|NAT-2|PNAT	arylamine N-acetyltransferase 2|N-acetyltransferase 2 (arylamine N-acetyltransferase)|N-acetyltransferase type 2|arylamide acetylase 2
11	NATP	N-acetyltransferase pseudogene	8	pseudo	AACP|NATP1	arylamide acetylase pseudogene
12	SERPINA3	serpin family A member 3	14	protein-coding	AACT|ACT|GIG24|GIG25	alpha-1-antichymotrypsin|cell growth-inhibiting gene 24/25 protein|growth-inhibiting protein 24|growth-inhibiting protein 25|serine (or cysteine) proteinase inhibitor, clade A, member 3|serpin A3|serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3
13	AADAC	arylacetamide deacetylase	3	protein-coding	CES5A1|DAC	arylacetamide deacetylase|arylacetamide deacetylase (esterase)
14	AAMP	angio associated migratory cell protein	2	protein-coding		angio-associated migratory cell protein
15	AANAT	aralkylamine N-acetyltransferase	17	protein-coding	DSPS|SNAT	serotonin N-acetyltransferase|arylalkylamine N-acetyltransferase|serotonin acetylase
16	AARS	alanyl-tRNA synthetase	16	protein-coding	CMT2N|EIEE29	alanine--tRNA ligase, cytoplasmic|alaRS|alanine tRNA ligase 1, cytoplasmic|alanyl-tRNA synthetase, cytoplasmic|renal carcinoma antigen NY-REN-42
17	AAVS1	adeno-associated virus integration site 1	19	other	AAV	
18	ABAT	4-aminobutyrate aminotransferase	16	protein-coding	GABA-AT|GABAT|NPD009	4-aminobutyrate aminotransferase, mitochondrial|(S)-3-amino-2-methylpropionate transaminase|4-aminobutyrate transaminase|GABA aminotransferase|GABA transaminase|GABA transferase|gamma-amino-N-butyrate transaminase
19	ABCA1	ATP binding cassette subfamily A member 1	9	protein-coding	ABC-1|ABC1|CERP|HDLDT1|TGD	ATP-binding cassette sub-family A member 1|ATP-binding cassette transporter A1|ATP-binding cassette, sub-family A (ABC1), member 1|cholesterol efflux regulatory protein|membrane-bound
20	ABCA2	ATP binding cassette subfamily A member 2	9	protein-coding	ABC2	ATP-binding cassette sub-family A member 2|ATP-binding cassette 2|ATP-binding cassette transporter 2|ATP-binding cassette, sub-family A (ABC1), member 2|ATP-binding cassette, sub-family A, member 2
21	ABCA3	ATP binding cassette subfamily A member 3	16	protein-coding	ABC-C|ABC3|EST111653|LBM180|SMDP3	ATP-binding cassette sub-family A member 3|ABC transporter 3|ABC-C transporter|ATP-binding cassette transporter 3|ATP-binding cassette, sub-family A (ABC1), member 3
22	ABCB7	ATP binding cassette subfamily B member 7	X	protein-coding	ABC7|ASAT|Atm1p|EST140535	ATP-binding cassette sub-family B member 7, mitochondrial|ABC transporter 7 protein|ATP-binding cassette transporter 7|ATP-binding cassette, sub-family B (MDR/TAP), member 7
23	ABCF1	ATP binding cassette subfamily F member 1	6	protein-coding	ABC27|ABC50	ATP-binding cassette sub-family F member 1|ATP-binding cassette 50 (TNF-alpha stimulated)|ATP-binding cassette, sub-family F (GCN20), member 1|TNF-alpha-stimulated ABC protein|TNFalpha-inducible ATP-binding protein
24	ABCA4	ATP binding cassette subfamily A member 4	1	protein-coding	ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1	retinal-specific ATP-binding cassette transporter|ATP binding cassette transporter|ATP-binding cassette sub-family A member 4|ATP-binding cassette transporter, retinal-specific|ATP-binding cassette, sub-family A (ABC1), member 4|ATP-binding transporter, retina-specific|RIM ABC transporter|RIM protein|photoreceptor rim protein|retina-specific ABC transporter|stargardt disease protein
25	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	9	protein-coding	ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	tyrosine-protein kinase ABL1|Abelson tyrosine-protein kinase 1|bcr/c-abl oncogene protein|c-abl oncogene 1, receptor tyrosine kinase|proto-oncogene c-Abl|proto-oncogene tyrosine-protein kinase ABL1|v-abl Abelson murine leukemia viral oncogene homolog 1
26	AOC1	amine oxidase, copper containing 1	7	protein-coding	ABP|ABP1|DAO|DAO1|KAO	amiloride-sensitive amine oxidase [copper-containing]|amiloride binding protein 1 (amine oxidase (copper-containing))|amiloride-binding protein 1|amiloride-sensitive amine oxidase|amine oxidase copper domain-containing protein 1|diamine oxidase|histaminase|kidney amine oxidase
27	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	1	protein-coding	ABLL|ARG	Abelson tyrosine-protein kinase 2|abelson-related gene protein|c-abl oncogene 2, non-receptor tyrosine kinase|tyrosine-protein kinase ARG|v-abl Abelson murine leukemia viral oncogene homolog 2
28	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	9	protein-coding	A3GALNT|A3GALT1|GTB|NAGAT	histo-blood group ABO system transferase|ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)|B(A) alpha-1,3-galactosyltransferase|histo-blood group A2 transferase
29	ABR	ABR, RhoGEF and GTPase activating protein	17	protein-coding	MDB	active breakpoint cluster region-related protein|active BCR-related
30	ACAA1	acetyl-CoA acyltransferase 1	3	protein-coding	ACAA|PTHIO|THIO	3-ketoacyl-CoA thiolase, peroxisomal|acetyl-Coenzyme A acyltransferase 1|beta-ketothiolase|peroxisomal 3-oxoacyl-CoA thiolase|peroxisomal 3-oxoacyl-Coenzyme A thiolase|testicular tissue protein Li 197
31	ACACA	acetyl-CoA carboxylase alpha	17	protein-coding	ACAC|ACACAD|ACC|ACC1|ACCA	acetyl-CoA carboxylase 1|ACC-alpha|acetyl-Coenzyme A carboxylase alpha
32	ACACB	acetyl-CoA carboxylase beta	12	protein-coding	ACC2|ACCB|HACC275	acetyl-CoA carboxylase 2|ACC-beta|acetyl-Coenzyme A carboxylase beta
33	ACADL	acyl-CoA dehydrogenase long chain	2	protein-coding	ACAD4|LCAD	long-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-Coenzyme A dehydrogenase, long chain
34	ACADM	acyl-CoA dehydrogenase medium chain	1	protein-coding	ACAD1|MCAD|MCADH	medium-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-CoA dehydrogenase, C-4 to C-12 straight chain|acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain|medium-chain acyl-CoA dehydrogenase|testicular tissue protein Li 7
35	ACADS	acyl-CoA dehydrogenase short chain	12	protein-coding	ACAD3|SCAD	short-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-CoA dehydrogenase, C-2 to C-3 short chain|acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain|butyryl-CoA dehydrogenase|mitochondrial short-chain specific acyl-CoA dehydrogenase|unsaturated acyl-CoA reductase
36	ACADSB	acyl-CoA dehydrogenase short/branched chain	10	protein-coding	2-MEBCAD|ACAD7|SBCAD	short/branched chain specific acyl-CoA dehydrogenase, mitochondrial|2-methyl branched chain acyl-CoA dehydrogenase|2-methylbutyryl-coenzyme A dehydrogenase|acyl-Coenzyme A dehydrogenase, short/branched chain
37	ACADVL	acyl-CoA dehydrogenase very long chain	17	protein-coding	ACAD6|LCACD|VLCAD	very long-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-Coenzyme A dehydrogenase, very long chain
38	ACAT1	acetyl-CoA acetyltransferase 1	11	protein-coding	ACAT|MAT|T2|THIL	acetyl-CoA acetyltransferase, mitochondrial|acetoacetyl Coenzyme A thiolase|acetoacetyl-CoA thiolase|acetyl-Coenzyme A acetyltransferase 1|mitochondrial acetoacetyl-CoA thiolase|testicular tissue protein Li 198
39	ACAT2	acetyl-CoA acetyltransferase 2	6	protein-coding		acetyl-CoA acetyltransferase, cytosolic|acetoacetyl Coenzyme A thiolase|acetyl-CoA transferase-like protein|cytosolic acetoacetyl-CoA thiolase
40	ASIC2	acid sensing ion channel subunit 2	17	protein-coding	ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1	acid-sensing ion channel 2|acid sensing (proton gated) ion channel 2|amiloride-sensitive cation channel 1, neuronal|brain sodium channel 1|mammalian degenerin homolog|neuronal amiloride-sensitive cation channel 1
41	ASIC1	acid sensing ion channel subunit 1	12	protein-coding	ACCN2|ASIC|BNaC2	acid-sensing ion channel 1|Cation channel, amiloride-sensitive, neuronal, 2|acid sensing (proton gated) ion channel 1|acid-sensing ion channel 1a protein|amiloride-sensitive cation channel 2, neuronal|brain sodium channel 2
43	ACHE	acetylcholinesterase (Cartwright blood group)	7	protein-coding	ACEE|ARACHE|N-ACHE|YT	acetylcholinesterase|Yt blood group|acetylcholinesterase (Yt blood group)|apoptosis-related acetylcholinesterase
46	ACLS	acrocallosal syndrome	12	unknown		
47	ACLY	ATP citrate lyase	17	protein-coding	ACL|ATPCL|CLATP	ATP-citrate synthase|ATP-citrate (pro-S-)-lyase|citrate cleavage enzyme
48	ACO1	aconitase 1	9	protein-coding	ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1	cytoplasmic aconitate hydratase|IRE-BP 1|aconitase 1, soluble|aconitate hydratase, cytoplasmic|citrate hydro-lyase|cytosplasmic aconitase|epididymis luminal protein 60|ferritin repressor protein|iron regulatory protein 1|iron-responsive element-binding protein 1|soluble aconitase
49	ACR	acrosin	22	protein-coding		acrosin|acrosin light and heavy chain prepropeptide|preproacrosin|proacrosin
50	ACO2	aconitase 2	22	protein-coding	ACONM|HEL-S-284|ICRD|OCA8|OPA9	aconitate hydratase, mitochondrial|aconitase 2, mitochondrial|citrate hydro-lyase|epididymis secretory sperm binding protein Li 284|mitochondrial aconitase
51	ACOX1	acyl-CoA oxidase 1	17	protein-coding	ACOX|PALMCOX|SCOX	peroxisomal acyl-coenzyme A oxidase 1|AOX|acyl-CoA oxidase 1, palmitoyl|acyl-CoA oxidase, straight-chain|acyl-Coenzyme A oxidase 1, palmitoyl|palmitoyl-CoA oxidase|peroxisomal fatty acyl-CoA oxidase|straight-chain acyl-CoA oxidase
52	ACP1	acid phosphatase 1	2	protein-coding	HAAP|LMW-PTP|LMWPTP	low molecular weight phosphotyrosine protein phosphatase|LMW-PTPase|acid phosphatase 1, soluble|acid phosphatase of erythrocyte|adipocyte acid phosphatase|cytoplasmic phosphotyrosyl protein phosphatase|low molecular weight cytosolic acid phosphatase|protein tyrosine phosphatase|red cell acid phosphatase 1|testicular secretory protein Li 37
53	ACP2	acid phosphatase 2, lysosomal	11	protein-coding	LAP	lysosomal acid phosphatase
54	ACP5	acid phosphatase 5, tartrate resistant	19	protein-coding	HPAP|TRACP5a|TRACP5b|TRAP|TrATPase	tartrate-resistant acid phosphatase type 5|human purple acid phosphatase|tartrate-resistant acid ATPase|tartrate-resistant acid phosphatase 5a|tartrate-resistant acid phosphatase 5b
55	ACPP	acid phosphatase, prostate	3	protein-coding	5'-NT|ACP-3|ACP3	prostatic acid phosphatase|TMPase|ecto-5'-nucleotidase|prostatic acid phosphotase|thiamine monophosphatase
56	ACRV1	acrosomal vesicle protein 1	11	protein-coding	D11S4365|SP-10|SPACA2	acrosomal protein SP-10|sperm protein 10
58	ACTA1	actin, alpha 1, skeletal muscle	1	protein-coding	ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3|SHPM	actin, alpha skeletal muscle|nemaline myopathy type 3
59	ACTA2	actin, alpha 2, smooth muscle, aorta	10	protein-coding	ACTSA	actin, aortic smooth muscle|alpha-cardiac actin|cell growth-inhibiting gene 46 protein
60	ACTB	actin beta	7	protein-coding	BRWS1|PS1TP5BP1	actin, cytoplasmic 1|PS1TP5-binding protein 1|beta cytoskeletal actin
62	ACTBP2	actin, beta pseudogene 2	5	pseudo		
63	ACTBP3	actin, beta pseudogene 3	18	pseudo		
64	ACTBP4	actin, beta pseudogene 4	5	pseudo		
66	ACTBP6	actin, beta pseudogene 6	8	pseudo	H8-PSI-BETA-AC3	actin, gamma 1 pseudogene
67	ACTBP7	actin, beta pseudogene 7	15	pseudo		
68	ACTBP8	actin, beta pseudogene 8	6	pseudo	ACTBP2	
69	ACTBP9	actin, beta pseudogene 9	18	pseudo		
70	ACTC1	actin, alpha, cardiac muscle 1	15	protein-coding	ACTC|ASD5|CMD1R|CMH11|LVNC4	actin, alpha cardiac muscle 1
71	ACTG1	actin gamma 1	17	protein-coding	ACT|ACTG|DFNA20|DFNA26|HEL-176	actin, cytoplasmic 2|cytoskeletal gamma-actin|epididymis luminal protein 176
72	ACTG2	actin, gamma 2, smooth muscle, enteric	2	protein-coding	ACT|ACTA3|ACTE|ACTL3|ACTSG|VSCM	actin, gamma-enteric smooth muscle|actin-like protein|alpha-actin-3
73	ACTG1P1	actin gamma 1 pseudogene 1	3	pseudo	ACT1GP1|ACTGP1|HY-psi-gamma-AC6	actin, gamma pseudogene 1
74	ACTG1P2	actin gamma 1 pseudogene 2	Y	pseudo	ACTGP2|ACTL2	
75	ACTG1P3	actin gamma 1 pseudogene 3	20	pseudo	ACTGP3|dJ545L17.4	actin, gamma pseudogene 3
78	ACTG1P6	actin gamma 1 pseudogene 6	1	pseudo	ACTGP6	actin, gamma pseudogene 6
79	ACTG1P7	actin gamma 1 pseudogene 7	1	pseudo	ACTGP7	actin, gamma pseudogene 7
80	ACTG1P8	actin gamma 1 pseudogene 8	1	pseudo	ACTGP8	actin, gamma pseudogene 8
81	ACTN4	actinin alpha 4	19	protein-coding	ACTININ-4|FSGS|FSGS1	alpha-actinin-4|focal segmental glomerulosclerosis 1|non-muscle alpha-actinin 4
82	ACTG1P9	actin gamma 1 pseudogene 9	6	pseudo	ACTGP9	actin, gamma pseudogene 9
83	ACTG1P10	actin gamma 1 pseudogene 10	X	pseudo	ACTGP10|ACTL1|ACTP1	actin, gamma pseudogene 10|actin-like 1|actin-like sequence-1
86	ACTL6A	actin like 6A	3	protein-coding	ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K	actin-like protein 6A|53 kDa BRG1-associated factor A|BAF complex 53 kDa subunit|BAF53|BRG1-associated factor 53A|INO80 complex subunit K|actin-related protein 4|actin-related protein Baf53a|arpNbeta|hArpN beta
87	ACTN1	actinin alpha 1	14	protein-coding	BDPLT15	alpha-actinin-1|F-actin cross-linking protein|actinin 1 smooth muscle|alpha-actinin cytoskeletal isoform|non-muscle alpha-actinin-1
88	ACTN2	actinin alpha 2	1	protein-coding	CMD1AA|CMH23	alpha-actinin-2|F-actin cross-linking protein|alpha-actinin skeletal muscle
89	ACTN3	actinin alpha 3 (gene/pseudogene)	11	protein-coding	ACTN3D	alpha-actinin-3|F-actin cross-linking protein|actinin, alpha 3|alpha-actinin skeletal muscle
90	ACVR1	activin A receptor type 1	2	protein-coding	ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI	activin receptor type-1|TGF-B superfamily receptor type I|activin A receptor, type I|activin A receptor, type II-like kinase 2|activin receptor type I|activin receptor-like kinase 2|hydroxyalkyl-protein kinase|serine/threonine-protein kinase receptor R1
91	ACVR1B	activin A receptor type 1B	12	protein-coding	ACTRIB|ACVRLK4|ALK4|SKR2	activin receptor type-1B|activin A receptor, type IB|activin A receptor, type II-like kinase 4|activin receptor-like kinase 4|serine/threonine-protein kinase receptor R2
92	ACVR2A	activin A receptor type 2A	2	protein-coding	ACTRII|ACVR2	activin receptor type-2A|activin A receptor, type IIA
93	ACVR2B	activin A receptor type 2B	3	protein-coding	ACTRIIB|ActR-IIB|HTX4	activin receptor type-2B|activin A receptor, type IIB
94	ACVRL1	activin A receptor like type 1	12	protein-coding	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	serine/threonine-protein kinase receptor R3|TGF-B superfamily receptor type I|activin A receptor type II-like 1|activin A receptor type IL|activin A receptor, type II-like kinase 1
95	ACY1	aminoacylase 1	3	protein-coding	ACY-1|ACY1D|HEL-S-5	aminoacylase-1|N-acyl-L-amino-acid amidohydrolase|acylase|epididymis secretory protein Li 5
97	ACYP1	acylphosphatase 1	14	protein-coding	ACYPE	acylphosphatase-1|acylphosphatase 1, erythrocyte (common) type|acylphosphatase, erythrocyte isozyme|acylphosphatase, organ-common type isozyme|acylphosphate phosphohydrolase 1
98	ACYP2	acylphosphatase 2	2	protein-coding	ACYM|ACYP	acylphosphatase-2|acylphosphatase 2, muscle type|acylphosphatase, muscle type isozyme|acylphosphate phosphohydrolase 2|testicular tissue protein Li 11
100	ADA	adenosine deaminase	20	protein-coding		adenosine deaminase|adenosine aminohydrolase
101	ADAM8	ADAM metallopeptidase domain 8	10	protein-coding	CD156|CD156a|MS2	disintegrin and metalloproteinase domain-containing protein 8|a disintegrin and metalloproteinase domain 8|cell surface antigen MS2|human leukocyte differentiation antigen
102	ADAM10	ADAM metallopeptidase domain 10	15	protein-coding	AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz	disintegrin and metalloproteinase domain-containing protein 10|a disintegrin and metalloprotease domain 10|kuzbanian protein homolog|mammalian disintegrin-metalloprotease
103	ADAR	adenosine deaminase, RNA specific	1	protein-coding	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	double-stranded RNA-specific adenosine deaminase|136 kDa double-stranded RNA-binding protein|adenosine deaminase acting on RNA 1-A|dsRNA adenosine deaminase|dsRNA adeonosine deaminase|interferon-induced protein 4|interferon-inducible protein 4
104	ADARB1	adenosine deaminase, RNA specific B1	21	protein-coding	ADAR2|DRABA2|DRADA2|RED1	double-stranded RNA-specific editase 1|RNA editing deaminase 1|RNA-editing enzyme 1|adenosine deaminase, RNA-specific, B1 (homolog of rat RED1)|dsRNA adenosine deaminase DRADA2
105	ADARB2	adenosine deaminase, RNA specific B2 (inactive)	10	protein-coding	ADAR3|RED2	double-stranded RNA-specific editase B2|RED2 homolog|RNA-dependent adenosine deaminase 3|RNA-editing deaminase 2|RNA-editing enzyme 2|adenosine deaminase, RNA-specific, B2 (RED1 homolog rat)|adenosine deaminase, RNA-specific, B2 (RED2 homolog rat)|adenosine deaminase, RNA-specific, B2 (non-functional)|dsRNA adenosine deaminase B2|homolog of rat BLUE
106	ADCP1	adenosine deaminase complexing protein 1	6	unknown		
107	ADCY1	adenylate cyclase 1	7	protein-coding	AC1|DFNB44	adenylate cyclase type 1|3',5'-cyclic AMP synthetase|ATP pyrophosphate-lyase 1|Ca(2+)/calmodulin-activated adenylyl cyclase|adenyl cyclase|adenylate cyclase 1 (brain)|adenylate cyclase type I|adenylyl cyclase 1
108	ADCY2	adenylate cyclase 2	5	protein-coding	AC2|HBAC2	adenylate cyclase type 2|3',5'-cyclic AMP synthetase|ATP pyrophosphate-lyase 2|adenylate cyclase 2 (brain)|adenylate cyclase II|adenylate cyclase type II|adenylyl cyclase 2|type II adenylate cyclase
109	ADCY3	adenylate cyclase 3	2	protein-coding	AC-III|AC3|BMIQ19	adenylate cyclase type 3|ATP pyrophosphate-lyase 3|adenylate cyclase type III|adenylate cyclase, olfactive type|adenylyl cyclase 3|adenylyl cyclase, type III
111	ADCY5	adenylate cyclase 5	3	protein-coding	AC5|FDFM	adenylate cyclase type 5|ATP pyrophosphate-lyase 5|adenylate cyclase type V|adenylyl cyclase 5
112	ADCY6	adenylate cyclase 6	12	protein-coding	AC6|LCCS8	adenylate cyclase type 6|ATP pyrophosphate-lyase 6|adenylate cyclase type VI|ca(2+)-inhibitable adenylyl cyclase
113	ADCY7	adenylate cyclase 7	16	protein-coding	AC7	adenylate cyclase type 7|ATP pyrophosphate-lyase 7|adenylate cyclase type VII|adenylyl cyclase 7
114	ADCY8	adenylate cyclase 8	8	protein-coding	AC8|ADCY3|HBAC1	adenylate cyclase type 8|ATP pyrophosphate-lyase 8|HEL-S-172mP|adenylate cyclase 8 (brain)|adenylate cyclase type VIII|adenylyl cyclase 8|adenylyl cyclase-8, brain|ca(2+)/calmodulin-activated adenylyl cyclase|epididymis secretory sperm binding protein Li 172mP
115	ADCY9	adenylate cyclase 9	16	protein-coding	AC9|ACIX	adenylate cyclase type 9|ATP pyrophosphate-lyase 9|adenylate cyclase type IX|adenylyl cyclase 9|type IX ATP pyrophosphate-lyase
116	ADCYAP1	adenylate cyclase activating polypeptide 1	18	protein-coding	PACAP	pituitary adenylate cyclase-activating polypeptide|adenylate cyclase activating polypeptide 1 (pituitary)|prepro-PACAP
117	ADCYAP1R1	ADCYAP receptor type I	7	protein-coding	PAC1|PAC1R|PACAPR|PACAPRI	pituitary adenylate cyclase-activating polypeptide type I receptor|PACAP receptor 1|PACAP type I receptor|PACAP-R1|adenylate cyclase activating polypeptide 1 (pituitary) receptor type I|pituitary adenylate cyclase activating polypeptide 1 receptor type I Hiphop|pituitary adenylate cyclase-activating polypeptide type 1 receptor
118	ADD1	adducin 1	4	protein-coding	ADDA	alpha-adducin|adducin 1 (alpha)|erythrocyte adducin alpha subunit
119	ADD2	adducin 2	2	protein-coding	ADDB	beta-adducin|adducin 2 (beta)|erythrocyte adducin subunit beta
120	ADD3	adducin 3	10	protein-coding	ADDL|CPSQ3	gamma-adducin|adducin 3 (gamma)|adducin-like protein 70
122	ADFN	albinism-deafness syndrome	X	unknown	ALDS	
123	PLIN2	perilipin 2	9	protein-coding	ADFP|ADRP	perilipin-2|adipophilin|adipose differentiation-related protein
124	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	4	protein-coding	ADH1	alcohol dehydrogenase 1A|ADH, alpha subunit|alcohol dehydrogenase 1 (class I), alpha polypeptide|alcohol dehydrogenase subunit alpha|aldehyde reductase
125	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	4	protein-coding	ADH2|HEL-S-117	alcohol dehydrogenase 1B|ADH, beta subunit|alcohol dehydrogenase 2 (class I), beta polypeptide|alcohol dehydrogenase subunit beta|aldehyde reductase|epididymis secretory protein Li 117
126	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	4	protein-coding	ADH3	alcohol dehydrogenase 1C|ADH, gamma subunit|alcohol dehydrogenase 3 (class I), gamma polypeptide|aldehyde reductase
127	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	4	protein-coding	ADH-2|HEL-S-4	alcohol dehydrogenase 4|alcohol dehydrogenase class II pi chain|aldehyde reductase|epididymis secretory protein Li 4
128	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	4	protein-coding	ADH-3|ADHX|FALDH|FDH|GSH-FDH|GSNOR|HEL-S-60p	alcohol dehydrogenase class-3|S-(hydroxymethyl)glutathione dehydrogenase|S-nitrosoglutathione reductase|alcohol dehydrogenase (class III), chi polypeptide|alcohol dehydrogenase class chi chain|alcohol dehydrogenase class-III|epididymis secretory sperm binding protein Li 60p|formaldehyde dehydrogenase|glutathione-dependent formaldehyde dehydrogenase
130	ADH6	alcohol dehydrogenase 6 (class V)	4	protein-coding	ADH-5	alcohol dehydrogenase 6|aldehyde reductase
131	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	4	protein-coding	ADH4	alcohol dehydrogenase class 4 mu/sigma chain|alcohol dehydrogenase VII|alcohol dehydrogenase class IV mu/sigma chain|alcohol dehydrogenase-7|class IV sigma-1 alcohol dehydrogenase|class IV sigmasigma alcohol dehydrogenase|gastric alcohol dehydrogenase|retinol dehydrogenase
132	ADK	adenosine kinase	10	protein-coding	AK	adenosine kinase|adenosine 5'-phosphotransferase|testicular tissue protein Li 14
133	ADM	adrenomedullin	11	protein-coding	AM|PAMP	ADM|preproadrenomedullin|proadrenomedullin N-20 terminal peptide
134	ADORA1	adenosine A1 receptor	1	protein-coding	RDC7	adenosine receptor A1|adenosine A1 receptor variant 1|adenosine A1 receptor variant 2
135	ADORA2A	adenosine A2a receptor	22	protein-coding	A2aR|ADORA2|RDC8	adenosine receptor A2a|adenosine receptor subtype A2a
136	ADORA2B	adenosine A2b receptor	17	protein-coding	ADORA2	adenosine receptor A2b
137	ADORA2BP1	adenosine A2b receptor pseudogene 1	1	pseudo	ADORA2BP	
140	ADORA3	adenosine A3 receptor	1	protein-coding	A3AR	adenosine receptor A3
141	ADPRH	ADP-ribosylarginine hydrolase	3	protein-coding	ARH1	ADP-ribosylarginine hydrolase|ADP-ribose-L-arginine cleaving enzyme|[Protein ADP-ribosylarginine] hydrolase
142	PARP1	poly(ADP-ribose) polymerase 1	1	protein-coding	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1	poly [ADP-ribose] polymerase 1|ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)|ADP-ribosyltransferase NAD(+)|ADP-ribosyltransferase diphtheria toxin-like 1|NAD(+) ADP-ribosyltransferase 1|poly (ADP-ribose) polymerase family, member 1|poly(ADP-ribose) synthetase|poly(ADP-ribosyl)transferase|poly[ADP-ribose] synthase 1
143	PARP4	poly(ADP-ribose) polymerase family member 4	13	protein-coding	ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193	poly [ADP-ribose] polymerase 4|193 kDa vault protein|ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)-like 1|ADP-ribosyltransferase diphtheria toxin-like 4|H5 proline-rich|I-alpha-I-related|PARP-related|PARP-related/IalphaI-related H5/proline-rich|poly(ADP-ribose) synthetase|poly(ADP-ribosyl)transferase-like 1|vault poly(ADP-ribose) polymerase|vault protein, 193-kDa|von Willebrand factor A domain containing 5C
144	PARP1P1	poly(ADP-ribose) polymerase 1 pseudogene 1	13	pseudo	ADPRTP1|PPOLP1	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase) pseudogene 1|poly (ADP-ribose) polymerase 1 pseudogene|poly(ADP-ribose) polymerase family member 1 pseudogene 1
145	PARP1P2	poly(ADP-ribose) polymerase 1 pseudogene 2	14	pseudo	ADPRTP2|PPOLP2	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase) pseudogene 2|poly (ADP-ribose) polymerase family, member 1 pseudogene 2
146	ADRA1D	adrenoceptor alpha 1D	20	protein-coding	ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2	alpha-1D adrenergic receptor|adrenergic, alpha -1D-, receptor|adrenergic, alpha-1A-, receptor|alpha-1A adrenergic receptor|alpha-1D adrenoceptor|alpha-1D adrenoreceptor|alpha-adrenergic receptor 1a
147	ADRA1B	adrenoceptor alpha 1B	5	protein-coding	ADRA1|ALPHA1BAR	alpha-1B adrenergic receptor|adrenergic, alpha-1B-, receptor|alpha-1B adrenoceptor|alpha-1B adrenoreceptor
148	ADRA1A	adrenoceptor alpha 1A	8	protein-coding	ADRA1C|ADRA1L1|ALPHA1AAR	alpha-1A adrenergic receptor|G protein coupled receptor|adrenergic, alpha-1A-, receptor|alpha-1A adrenoceptor|alpha-1A adrenoreceptor|alpha-1C adrenergic receptor
